PostCodes,eff
NO88 - LT53,1.051053208716311
IT80 - GBGL,1.0513500413858743
NO88 - DK98,1.0525049461490545
FI49 - NL14,1.0541529672689718
FR66 - SE25,1.0562115572762967
IT35 - NO21,1.056405553789919
IT06 - SE64,1.0568221619042908
BE19 - NO20,1.058062668041481
NO84 - PL76,1.0595868276700018
ES30 - DE22,1.0617133214694128
IT37 - NO32,1.0624002033188888
NL29 - NO10,1.0648794176507725
NO41 - FR76,1.0669808678169805
IT - NO,1.0674510505391417
FR31 - GR19,1.0684121615431932
NL26 - NO10,1.0684997127906883
ES50 - SE25,1.069751947901542
ES12 - NL27,1.0702112843621612
ES - PL,1.0702482609168609
FI - NL,1.0705254241808313
IT03 - SE35,1.0710151033519284
NL38 - SE25,1.0711418515553528
BE20 - SE11,1.0712716704406233
NL44 - AX22,1.0719907968723141
ES01 - DK83,1.075894759619373
NO83 - DK77,1.0761776294243548
FR77 - SE14,1.0762660216814548
NO88 - NL38,1.0770497268150059
NL14 - FI49,1.077819608836013
IT70 - SE25,1.0781970453337142
ES04 - DE23,1.0790372920824987
IT24 - SE77,1.081465507445946
NO83 - DK99,1.0822542673840858
ES - SE,1.0829993173875219
DE44 - DE46,1.0830860459504112
SE25 - GBDN,1.084727923446178
ES46 - DE23,1.084844102827571
NO72 - FR50,1.0852072796637973
IT25 - IT37,1.0862934535696434
GR58 - LV10,1.0879718720674705
BE89 - GR54,1.0879718720674705
NO20 - IT36,1.088306913795642
FR66 - SE26,1.0889842888275438
ES30 - DE26,1.0890841575681924
FR79 - DK33,1.0913007377869355
ES30 - DE23,1.0914056930639606
ES46 - NL27,1.092378573151976
IT75 - SE25,1.0927432058111164
FR77 - FR95,1.0930226881278688
DE - GR,1.0932119409845875
NL66 - BE99,1.094285551347832
IT43 - GBGL,1.0944642980358223
IT00 - SE35,1.094521707315276
ES25 - SE25,1.095147774373481
ES08 - SE26,1.0955071432805188
DK70 - NO90,1.0960886897930278
ES17 - SE26,1.0962688244832033
IT35 - SE42,1.0981075055050258
NO93 - DK63,1.100323860372772
NO20 - FR29,1.1007226539905508
FR28 - SE71,1.1008663590353152
FR71 - NO06,1.1013293905667496
NO91 - LT60,1.101831476598879
ES50 - SEq,1.1018677003644692
NL48 - SE11,1.1023362719193157
NO91 - DK68,1.1023523233862984
ES50 - SE26,1.1026430768367033
IT12 - SE25,1.1028469763429687
NO06 - GBGL,1.1029581220147724
PT26 - CH46,1.1034034885034254
IT67 - SE26,1.1035234323284007
NO87 - NL83,1.1037149332124012
NL69 - SE25,1.1055087962621575
NO05 - GBGL,1.105915290131115
GBWA - BE91,1.1064379259881965
ES22 - SE26,1.1065275414755016
NO91 - PL76,1.1067705006189492
ES31 - SE25,1.1084448579133188
NO87 - DE27,1.108866463845566
DK63 - DK74,1.1089918230481317
ES83 - SE26,1.109086633362542
IT40 - GBWA,1.109709199768822
IT44 - IT37,1.109716143191247
IT12 - GBNN,1.1107860525389686
NL46 - SE64,1.1108434743548021
DE48 - DE89,1.110891125504771
IT62 - GBB4,1.111026934892277
NL14 - NO15,1.111392259558875
NL60 - SE81,1.1117532392379945
ES21 - NL69,1.112018896727306
IT - GB,1.1124351409119837
NL82 - SE80,1.1124421611884268
IT50 - GBMK,1.1140088671179322
NL32 - SE11,1.1148026917440028
FR27 - FI16,1.1153857765343909
IT37 - NO13,1.1155347596149585
FR76 - FI01,1.115951481041124
NL19 - NO16,1.1161264012589052
NL82 - SE14,1.1180908417860025
SE25 - GBHU,1.1182529820885636
NO20 - FR56,1.1184763104556583
IT20 - GBNG,1.1187285414172783
NL26 - SE72,1.119508029063959
FR45 - FR62,1.1197329353598773
NL29 - SE72,1.1197618577771213
IT67 - SE25,1.1197844733904372
NL27 - SE12,1.1199917922558367
NL14 - SE62,1.120913648176393
NO80 - DK63,1.1214085645216125
NL82 - SE74,1.1218917781144822
NL27 - SE72,1.122549917268693
NL67 - SE33,1.1226442805716144
FR71 - SE13,1.122879297880101
ES17 - SEq,1.1232288858103303
DE52 - GR57,1.1235461841103849
TR34 - CH85,1.1235857774610254
IT40 - GBSN,1.1241365474832397
IT80 - DK74,1.1241688407939445
NL50 - DK26,1.1244642902682793
NL82 - SE72,1.1252767088851063
NO88 - DE24,1.125677218401528
IT37 - SE43,1.126012886066803
NO69 - IT28,1.1262301790752203
NL14 - SE19,1.1262377831769042
ES30 - DEDE,1.1275545316281237
NO20 - GBDN,1.1282658661756029
IT15 - GBNN,1.128552578711277
BE21 - SE13,1.1293659976984491
IT20 - FR95,1.1298222989101352
NL14 - NO20,1.1301020338647554
GBME - ES28,1.1303299311062764
IT12 - GBDE,1.1305195270506012
IT12 - GBNG,1.1309779795704942
PL95 - GBDE,1.1312100011802984
FR44 - DK33,1.132650968874179
NO91 - DK63,1.1330487197515255
NO06 - GBDN,1.1335232786263285
NO60 - DK98,1.1337594516824763
GBCF - BE83,1.133879405221634
NO06 - SE60,1.1339245474770814
PL95 - GBNG,1.1343473621881073
NL33 - SE72,1.1347651930947802
NL - FI,1.135006541263254
DE30 - GBME,1.13521120087253
GBMK - GBLU,1.1354206121738586
IT36 - GBCH,1.1357129542769013
NL59 - DE47,1.1360155307404614
NO72 - FR14,1.1364419882962886
ES41 - DE76,1.1367421044141857
FR55 - SE26,1.1377229448160993
IE - NL,1.138205174515669
ES28 - FR95,1.1384903245107476
PL08 - GBDE,1.1387213462715169
NO83 - SE60,1.1390955222560506
NL70 - SE15,1.1396281108658404
NL37 - DE06,1.1396780210293158
NL41 - SE14,1.1399304333708937
DE85 - SE42,1.139997227356995
NL82 - SE19,1.1401006549133217
IT37 - SE42,1.1404138800357857
NL58 - SE55,1.1409757228348334
SE94 - DK78,1.1415064325286088
IED2 - NL11,1.1418251286391716
NL82 - SE70,1.1420141018397514
DE50 - SE55,1.1421305601990803
FR80 - SE71,1.1422956367827706
NL82 - SE13,1.1423114556086833
EE42 - NO54,1.1428423005770347
IT37 - SE41,1.1429950570855405
IT37 - SE44,1.1433905912014708
GB - IT,1.143806625990272
IT20 - GBUB,1.144379666777554
NL58 - SE25,1.1444989076499656
NL26 - DK26,1.14488226063157
IT12 - SE26,1.1451441301432757
NL41 - SE25,1.1459568502790083
NO05 - GBDN,1.1467517804594478
MK - LV,1.1469365261736144
IT33 - LV57,1.1469365261736144
IT15 - SE26,1.14731974633763
BE15 - NL38,1.1474920459280418
NL37 - SE43,1.1481110726581125
NO - IT,1.1481972401474534
NL - NO,1.1482684931259695
DE97 - GBST,1.1485675160844688
NL82 - SE60,1.1490805402833157
NL58 - SE16,1.1502127447316126
NL46 - SE14,1.1516297530516344
BE91 - RO77,1.1516909629829073
DE86 - GR54,1.151736524599372
DE94 - FI14,1.1521701209644577
NL33 - SE25,1.1529697528437601
NL24 - SE14,1.1532803826277442
NO87 - PL76,1.1534898895704033
NL44 - SE14,1.1536697668975449
IT26 - GBTF,1.153713635404348
BE77 - SE16,1.1547342332525585
BE46 - SE13,1.15532619413108
IT26 - DE85,1.1555970764037498
BE42 - FI21,1.1556350886262787
BE77 - SE66,1.1558902705860694
NO88 - LT60,1.156553782397014
NL32 - SE25,1.157407541514486
BE85 - FI01,1.1576399508930344
IT40 - NL69,1.1585282443060834
IT47 - DK63,1.1587215392669914
NL26 - SE14,1.1589093215490331
FR38 - FR69,1.1592305760316477
NL14 - SE25,1.16004813840778
NO60 - FR62,1.1602004777341346
ES22 - PL05,1.1602759229450295
IT43 - DE64,1.1604282427483184
NO30 - NO08,1.1608242764959396
NL39 - SE25,1.1615314633337612
IT22 - GBCW,1.1617844409184568
IT48 - SE25,1.1621235826419298
NL82 - SE53,1.1625833669191532
IT47 - SE25,1.162903504545839
NL82 - SE55,1.1629577370097346
ES46 - NL26,1.1632002537939494
DE54 - NO05,1.1638994886194067
SE46 - NO90,1.1645848509537267
NL82 - SE58,1.1650450122610836
IT - SE,1.165685580233703
NO20 - IT20,1.1661619892927628
NL82 - SE42,1.1668613510616894
IT37 - SE25,1.1713990737065398
ES08 - DK26,1.1717698919899011
ES31 - DK60,1.1724233657813312
NO72 - FR62,1.173255911848079
LV21 - LV10,1.1732698797867727
IT20 - GBST,1.1735172619430831
BE46 - SE42,1.1738172859460725
NL46 - SE25,1.1738449461245755
NL26 - DK46,1.1743195377423734
BE21 - SE70,1.1750701468667584
NL27 - SE14,1.1752987974869578
GBME - ES08,1.1757908327783178
NO87 - DE24,1.1760465772328397
ES30 - DE32,1.1766216984619369
FR66 - GBPO,1.176764741064677
NO41 - FR94,1.1769037841948835
IT37 - GBST,1.1769590089705242
NL52 - SE25,1.177008637521693
IT24 - FR71,1.1775519001830361
DE88 - DK34,1.1776616982635844
NO72 - FR94,1.1778459649857462
BE77 - RO07,1.1789176951313574
DE58 - SE55,1.179019159109605
IT29 - BG63,1.17903289896405
NL56 - NO20,1.1792022757339526
NL69 - SE23,1.1794621994861543
DE69 - DE74,1.1798094780823245
IT20 - LV57,1.1798201722844797
FR76 - RO07,1.1803107704845737
NO72 - PL76,1.1803253377429428
BE - FI,1.1812230572017908
NO91 - NO62,1.1816204360320508
NO72 - BE80,1.1819853413558126
IT20 - BG13,1.1825006699758986
ES28 - DE56,1.182609672772102
LV21 - GBPE,1.1826344864263376
NO20 - NO84,1.1826979506285837
BE78 - SE19,1.1827794595140892
NO60 - PL76,1.1831513685360628
FR - NO,1.1831592982102308
LVLV - RO07,1.1841786735425868
NL26 - SE25,1.1842428953971407
IT20 - NL69,1.1843014415835116
NL42 - SE25,1.1844139947368726
DE61 - DE74,1.1847282239200643
FR27 - SE19,1.1865610859612299
HR - BE,1.188067793682133
IT44 - SE25,1.1883682373212126
NL14 - FI01,1.1888974484960213
IT20 - ES28,1.18902389620527
NO - NL,1.189244153592091
DE29 - GBDE,1.18948230007513
DE45 - DE41,1.189578487024242
NL37 - FI00,1.189753721853199
NO72 - EE13,1.1899261915090955
IT04 - DE33,1.1899592206504042
DE29 - GBMK,1.1900921371573325
IT12 - DK26,1.1901656719204956
NL56 - SE19,1.19030549338508
IT60 - BE28,1.1904740062101207
NO72 - NO72,1.1909520003170029
FR27 - NO17,1.1912297577544435
GR10 - DE64,1.192021571925773
DK55 - NO80,1.1924677623550712
NL82 - SE39,1.1931854110196858
NL40 - SE25,1.1933627248151004
DE41 - IT20,1.1937832400879047
IT45 - IT37,1.1940277741198355
NL14 - SE55,1.1947583408081872
BE99 - SE53,1.1958898845745891
SE15 - NO21,1.1959167889435924
IT20 - DE45,1.1961428680200927
IT39 - SE25,1.1972431592912713
NO06 - IT28,1.1972763346440987
NL31 - SE25,1.1973042985693865
IT43 - DK67,1.1973184637270446
NO20 - IT24,1.1982264460175769
NL14 - DK23,1.198351420565074
BE23 - FI01,1.1987593770948388
NL37 - SE21,1.1991813838907182
NO65 - NL11,1.199365018767333
NL59 - SE53,1.1997569154113756
NO64 - FR62,1.2005378971031755
BE37 - SE25,1.2016004864944452
DE74 - FI14,1.2021138786904448
NL29 - DK46,1.2022829256178202
NL41 - FI01,1.2023131436382548
LVLV - RS24,1.2023580217453265
NL59 - SE25,1.2029613072483663
NL47 - FI01,1.2033762213633028
BG22 - SE26,1.204049962611822
ES19 - ES08,1.2041011572124423
NL29 - SE25,1.2049626458500315
NO20 - FR76,1.2054938038340959
BE77 - SE53,1.2066835662217414
NL31 - FI01,1.2072403511828875
FR - SE,1.2080838397769293
NL82 - SE45,1.2085454541734915
DE47 - SE25,1.208603936629742
DE64 - SE13,1.2086830617932287
DE79 - FI33,1.2093876141478264
BE23 - SE25,1.2094608786567023
NO60 - BE84,1.2105710510630259
RO54 - LU53,1.2106969725751302
NO72 - NL73,1.2107824142175483
NO91 - NO64,1.2109958901375608
NL - SE,1.211242933012244
IT12 - NL61,1.2116968109020083
FR32 - GBCB,1.2121731685169974
NL26 - SE21,1.2123338102256391
SE30 - NO99,1.212821418247508
DK - IT,1.2128744047548612
BE31 - GBBS,1.2131229304953595
NL29 - DK26,1.2135431317650938
NL31 - RO07,1.214612958025876
BE21 - SE39,1.2147687583251692
NO23 - SE23,1.2148370449517638
ES03 - IT37,1.2149706804273133
ES43 - DK57,1.2153556516519977
IT37 - SE26,1.2155015324348437
DE48 - SE41,1.2155485393639582
NO46 - NO08,1.2173064382840637
DE86 - SE72,1.2177954956016976
ES - BE,1.2179956964789023
CH30 - SE26,1.218206710238988
IT50 - BE25,1.2186976002599932
NL29 - GBBS,1.2187272553151627
NL14 - SE41,1.2188578400942163
CH - SE,1.219265383655874
DE39 - SE68,1.2193667768485743
FR86 - GBWN,1.2194216575868875
CZ53 - SE13,1.2202815449426263
IT35 - FR44,1.2203607783705348
BE17 - RO07,1.2205140006490234
BE89 - IT84,1.2210066980974348
ES08 - DK83,1.221245589256202
LV53 - RO54,1.221651039436723
NL27 - SE25,1.2216787617436773
DK - LU,1.2219393547314215
NL66 - SE25,1.2220991610222114
NL14 - GBPO,1.222298484984259
NL14 - SE23,1.2225635229966973
IT48 - IT37,1.2236931473185746
IT - DK,1.223752657342023
NO20 - NO96,1.2237754740192155
ES08 - DE65,1.2240146309393858
DE64 - GBGL,1.2245880808751561
IT12 - LV21,1.2246704146736116
DK70 - IT80,1.2246823486137406
DE45 - SE55,1.2250559669726746
DE03 - FI14,1.2251620545934379
BE44 - SE26,1.22549195131592
BE80 - SE23,1.2255791383895187
NO72 - DE17,1.2257597108281022
DK46 - NO90,1.2257957862921471
FR59 - BE62,1.2258819650512263
BE85 - RO23,1.2261226863213512
NO05 - IT36,1.2267829164389175
NO14 - NO08,1.2276973005686
IT84 - NL26,1.2277102402256042
BE44 - SE25,1.2281228095587209
DK70 - ES47,1.2282376847275456
NL17 - SE25,1.2286074872001302
NL75 - RO10,1.22864536140184
BE17 - BG23,1.2292606717522612
DE32 - SE28,1.2294782090762983
FR59 - EE10,1.2298641461000346
LV54 - SE13,1.2305414444625662
NL50 - SE39,1.2307922713349382
DE54 - NO06,1.230860983008247
NO89 - DK70,1.230883821815681
BE80 - NL38,1.2311037945701149
SE30 - NO93,1.2312649663312534
NL82 - SE21,1.2315598204327318
DE30 - ES28,1.231595967870215
ES41 - NL38,1.2319999709292544
NL26 - SE41,1.2324266134326436
ES - DK,1.232467937413139
NL59 - IT20,1.2325261589552166
ES41 - NL48,1.2329191817354892
DE67 - SE25,1.2334653307913095
FR88 - SE52,1.233545914884488
DK26 - DK46,1.233549470463906
NO20 - DE60,1.233666032771877
BE31 - FI01,1.233918579247844
NL50 - SE35,1.2344263587774533
NO41 - PL76,1.2350012995949926
NO - BE,1.2350825854878213
ES41 - NL26,1.2354658913923409
BE91 - SE21,1.2354908422205577
FR29 - IT01,1.2355826163285524
NL48 - GBSO,1.2356985859160043
DE45 - SE41,1.2359180740979994
NO60 - NO91,1.236909919956417
DE - RO,1.2369572132732052
NL50 - SE34,1.2370128588945537
NO72 - LUL-,1.2371184024174193
NO60 - LT60,1.2376089771021745
FR - EE,1.2376164322190806
FR53 - ES45,1.237793997913619
NL39 - DK46,1.2381947878160806
NL86 - SE25,1.2387077548480294
NO60 - BE80,1.238730553678227
FR95 - SE25,1.2388686558878628
SE34 - NO90,1.238998001329524
IT47 - IT37,1.2392777036513354
IT40 - DK63,1.2395854921582523
IT38 - LV30,1.2396301254050035
DE64 - GBWN,1.239990049429252
NL60 - BG42,1.2400018100154024
NL26 - SE26,1.2410588861650762
IT25 - LV57,1.2410986409885718
SE30 - NO95,1.2411310478319686
NL60 - BG63,1.2411340849976153
IT24 - FR76,1.2412026441894861
IT20 - GR19,1.2414797443341343
ES30 - NL29,1.241735972397425
NO60 - NO98,1.2421141673291496
NL60 - BG85,1.2422774522531055
HU - SE,1.2423007921140943
IT27 - ES28,1.2424607163538073
IT37 - IT47,1.2425211634224969
DE35 - GBNN,1.2428411873642775
PL10 - GR18,1.24287443361394
IT37 - LV10,1.2431539691165243
NL48 - DK46,1.2435441537153327
DE98 - SE28,1.2437894332751496
SE13 - NO90,1.2438661171373542
NO72 - DE27,1.2439126882959548
NL59 - EE11,1.244295172767621
ES31 - DK26,1.2444392059441522
DK83 - NO80,1.2453328566682988
IT46 - PL08,1.245460435112346
FR50 - DK24,1.245562205576456
NO46 - NO80,1.2456891091997588
SE83 - NO13,1.2458122553666688
FR35 - IT01,1.2461241868558397
IT20 - SE42,1.2461585375087396
NO83 - NO75,1.2464197874815577
BE90 - SE21,1.247136938367224
NL82 - SE30,1.2473949426178665
DE61 - DE47,1.247738770610534
DK70 - IT84,1.2477447902674945
NO72 - NL11,1.2478693611287652
NO06 - FR76,1.2485638251288274
NL24 - SE21,1.249372816482684
NL14 - GBM1,1.2500322479185908
DE21 - FI00,1.2501034062475238
DE47 - NL74,1.2508460015803236
IT40 - LV21,1.2510934376452967
NL59 - EE13,1.2511584429193339
DE06 - BE80,1.2512218599930671
NO87 - NO62,1.2513013935315875
IT24 - ES45,1.2520067070110017
FR93 - IT20,1.2522188692948062
DK71 - NO90,1.2522666388483998
NO84 - NO72,1.2525614152068307
NO41 - FR62,1.2528565835811951
SE94 - LVLV,1.2530029746498015
NO96 - NO60,1.2530770910182152
NO14 - NO84,1.2531650497485423
DE99 - GBNG,1.253295590051392
NO91 - NO60,1.2535625490113163
GR37 - FR46,1.2536724276970372
FR14 - DK40,1.2538016964658438
IT35 - DK21,1.2539390747810177
DK67 - NO85,1.254062221229814
IT66 - NL46,1.2542359420581615
DE06 - GBRM,1.2545482982326204
DE82 - ES28,1.2546596116069926
DE33 - LV21,1.2551808928594426
NO20 - FR91,1.2554907214288111
DK55 - NO28,1.2556533383978294
NL29 - IT00,1.2556718280569406
IT47 - LV57,1.2560778455338515
ES46 - NL83,1.2563787283058916
GR - FR,1.2567150352182557
DE97 - SE26,1.25695033905783
NL14 - GBTW,1.257095081231994
FR94 - SE25,1.2571058182094743
DK99 - ES31,1.2571166643388643
BE21 - SE37,1.2572016885125754
SE92 - SE41,1.2573147149948625
BE85 - EE10,1.2573382557981632
DE79 - RO08,1.257394836067777
BE37 - DK40,1.2575006153529373
IT40 - IT37,1.2578409457475963
BE91 - DK26,1.2579709196271158
NO84 - NO06,1.258032266181428
NL39 - BE21,1.2581529171397252
DE25 - GBPE,1.2583476536855962
NO20 - NL19,1.258767562102448
NO60 - NO83,1.2588384533694639
NO88 - NO20,1.259181799732874
DE56 - NL56,1.2593118204182152
IT14 - LV10,1.2595039360032507
DE30 - DE31,1.259538807949983
IT81 - ES30,1.2597881101013815
NL48 - SE27,1.2599357272895788
ES41 - NL59,1.2600069907371083
IT13 - LV10,1.2608426720037933
NO20 - FR50,1.2622718233159544
IT12 - GR19,1.2627395235493604
BE87 - SE26,1.2629442189214528
IT51 - DE22,1.2629906296822058
NL30 - SE27,1.2630467844171243
ES - DE,1.2636504688438668
NO41 - LT60,1.2638185186215403
NL14 - DK26,1.263952397803056
DE76 - DK42,1.26443302537299
LVLV - SE23,1.2646680556631635
IT33 - FR77,1.2653164235523944
NL29 - SE21,1.265579035800786
NL31 - IT00,1.2660178726967932
DE74 - SE26,1.2661045058743108
DE34 - DE31,1.266145975192683
NL53 - IT00,1.2663989190149199
FR14 - CZ66,1.266473644106392
DK74 - NO65,1.266573775890607
GBNE - ES28,1.266641321567492
BE24 - SE25,1.2669110374007782
NO84 - NO61,1.2671907386508778
DE59 - DK26,1.2673017191628764
NL54 - SE44,1.26768086199485
IEWP - IT36,1.268144092158291
NO91 - NO06,1.2682520041459886
IT34 - FR94,1.2682739227368183
NL34 - IT00,1.268743304882458
NL48 - SE25,1.2689139879817335
NO60 - DE27,1.2690399284538558
IT10 - LV21,1.2692122342382317
NL34 - DK26,1.2693673990931191
NO14 - NO90,1.2695601757739552
SE59 - NO48,1.2695732942187712
NL19 - IT04,1.26998603334416
FR85 - GBCV,1.270115375098227
IE - IT,1.270245849746503
BE90 - SE23,1.270390131010237
IT24 - ES28,1.2705396976411165
IT31 - LVLV,1.2706205715444787
LV - BG,1.2706320868379268
PL05 - GR54,1.2707023240700148
DK71 - NO93,1.270747834415932
NO72 - LT90,1.270822625678002
EE71 - FR73,1.270867365025283
SE69 - NO99,1.2710193934274971
DE08 - GBWS,1.2711058046800836
LV42 - BG53,1.271108761805328
IT60 - FR21,1.2712300029947943
IT24 - NL33,1.2712701648776743
BE01 - SE25,1.271279092055736
BE77 - EE10,1.271511794356463
NL31 - IT04,1.271695675501923
BE20 - SE25,1.2718057495411714
ES01 - DK60,1.2718892532459642
SE34 - NO94,1.2721418924192294
NO88 - NO05,1.272193886627466
BE87 - SE25,1.2726575673769225
SE50 - SI62,1.2728912124731675
FR21 - GBCV,1.273041163269492
FR76 - SE26,1.2730447592364391
NL29 - SE14,1.2738516600108785
LV54 - SE16,1.2739288345395567
BE20 - IT04,1.2740383134433866
SK92 - CZ10,1.2742699074708903
DE23 - IT27,1.2742746309981905
DE35 - GBNG,1.2743382484904178
FR62 - EE10,1.2743849343283877
NO64 - NL11,1.2744887224023527
DE23 - DE55,1.2749531857648642
NL51 - SE25,1.2750832517098818
FR40 - GBGB,1.275179773765881
NL34 - SE21,1.2752761901817016
ES46 - NL48,1.2755006696197813
SE30 - NO84,1.2758692061838328
NO72 - NL83,1.276152340329965
FR14 - GBEH,1.2762184324943282
NL66 - NL81,1.276819605579089
BE93 - SE28,1.276987249586153
IT80 - NL46,1.2774610422350166
SE23 - NO84,1.2778078879248835
SE91 - SE41,1.277945002801273
SE30 - NO94,1.278057513241289
FR27 - IT27,1.2780998772522343
NL38 - DK04,1.278739421850621
BE22 - SE26,1.2794493022188582
CZ74 - FR63,1.2795446559166448
NO41 - BE84,1.279817851374943
SE25 - ES20,1.2800694479272983
BE - SE,1.2804359431638273
ES28 - LU53,1.2805528030226638
SE26 - NO85,1.2805813719448635
NO60 - DE24,1.2809371785649035
ES31 - DK71,1.2818629787332367
NO20 - NL73,1.2820211647056203
NL29 - DK12,1.2826837761050491
BE90 - SE27,1.2828686121044341
NO69 - FR62,1.2830504658584252
IT20 - FR78,1.2831122932171184
NO60 - DE31,1.283228342352911
BE55 - SE26,1.2835222217273476
BE77 - SE21,1.2838116930923613
BE55 - GBNG,1.2841574881058593
BE21 - DK47,1.2843210175937303
BE89 - EE10,1.284676993150626
DE - NO,1.2848142035140593
FR59 - GBCF,1.2848285672756028
IT15 - DK83,1.2856578565550336
NL19 - SE27,1.2857063023839725
NO - FR,1.2857701901827858
DE50 - IT00,1.2860867231822832
BE - SK,1.2863439083486201
NO20 - DE50,1.2865597724281321
ES19 - IT00,1.28669106383359
NO64 - PL17,1.2867141023551458
NO20 - FR94,1.286983177700115
ES28 - GBGB,1.2870085364946062
SI42 - FR91,1.2879330799132176
NL83 - IT12,1.2879656205181773
DE23 - ES19,1.288342209208427
NO20 - IT43,1.2883617945475014
IT47 - NL49,1.2884367261449896
GBAB - FR35,1.2891322991192273
BE89 - SE25,1.2894961344186433
IT16 - DE18,1.2895732235709563
NL83 - FR33,1.2899875867390789
NO20 - FR59,1.2899988826786903
NO87 - NO20,1.2900153795572964
IT15 - FR41,1.290071851604975
NL47 - SE26,1.2901331191062428
LVLV - HR42,1.2903513303346754
DE24 - SE81,1.2904533765186745
IT23 - BE28,1.290664837580017
BE85 - SE26,1.2911906650883267
IT25 - BE17,1.2918075001473959
IT04 - NL29,1.2918597328580619
BE - EE,1.2919910345208
NL49 - SE27,1.292041542170767
DE76 - GBPO,1.292088213216059
DE59 - DE45,1.2924125481930957
SE26 - NO90,1.2925108907027547
NL83 - IT81,1.2925952016193396
FR66 - BE87,1.2925968062610063
CZ53 - ES08,1.292955921571139
DE46 - ES20,1.29315142666888
FR76 - GBDN,1.2931812436444312
NO31 - SE93,1.293979776593737
LVLV - SE28,1.2940643765212536
NO91 - NO61,1.294112287508296
DE50 - DK46,1.2942059504794685
FR88 - GBBS,1.2942274774826112
LV31 - RO07,1.2943219606059375
NO79 - DK70,1.2944913431168499
NO41 - BE80,1.294602545618115
HU82 - GBGL,1.2946530315267755
BE77 - SE25,1.2950344614394123
SE57 - NO85,1.2951902588650226
ES08 - FR95,1.2961038319876916
IT04 - NL34,1.2961417759860878
LV42 - RO08,1.2961649502049948
ES41 - NL57,1.2961721807292264
SE98 - SE41,1.2961869888952846
IT37 - DK71,1.296281910217331
GR60 - DE35,1.2966492178549935
DK08 - FR69,1.2967639877480441
IT10 - NL19,1.296904570025238
FR45 - HU20,1.296996338688548
IT45 - LV10,1.2972800625521477
SE21 - NO90,1.297293010994343
NO64 - NL73,1.297406176464149
BE88 - SE25,1.2976119384473965
LVLV - SE68,1.2976579107962647
FR56 - GBPE,1.2976723362201619
NO20 - DE10,1.2977998035975262
FR71 - GBNN,1.2978940963129015
DE28 - GBOL,1.2981148195522128
NO91 - SE45,1.2994886232803722
NL38 - DK26,1.2995552299132047
NL44 - SE25,1.2995726246551198
IT37 - DK88,1.2997482173214563
ES83 - DE55,1.299974395859993
BE76 - EE10,1.300147959259495
GBME - DE64,1.3001526871539217
NO60 - LV21,1.300257218995094
NL83 - IT00,1.300442153995607
IT24 - FR78,1.300531831799162
NL - EE,1.3007601446199664
LVLV - FR26,1.300839623161578
SE25 - ES28,1.300839623161578
IT15 - NL52,1.3009663952725055
ES28 - NL20,1.3010391594278687
NL14 - LV10,1.301205552780432
LVLV - IT00,1.30156296912773
IT29 - DK56,1.3016592887540217
IT43 - FR14,1.3016864169055755
IT43 - NL60,1.3017094693869793
FR38 - GBCB,1.301821491603736
IT81 - NL37,1.3018537787565239
